target,analog,affinity
enpp1,AN00_parent,-8.1
enpp1,AN01_Nhydroxyethyl,-8.1
enpp1,AN02_Ncarboxamide,-8.3
enpp1,AN03_Nmethyl,-7.8
enpp1,AN04_Naminoethyl,-8.2
enpp1,AN05_ethyllinker,-8.2
enpp1,AN06_directlink,-7.9
enpp1,AN07_hydroxy,-8.8
enpp1,AN08_hydroxymethyl,-8.0
enpp1,AN09_carboxamide_ring,-8.4
enpp1,AN10_piperidinol,-9.4
enpp1,AN11_fluoro_pip,-8.1
enpp1,AN12_azaquinoline,-7.7
enpp2,AN00_parent,-7.3
enpp2,AN01_Nhydroxyethyl,-7.8
enpp2,AN02_Ncarboxamide,-7.6
enpp2,AN03_Nmethyl,-6.7
enpp2,AN04_Naminoethyl,-7.4
enpp2,AN05_ethyllinker,-7.9
enpp2,AN06_directlink,-7.1
enpp2,AN07_hydroxy,-8.0
enpp2,AN08_hydroxymethyl,-8.3
enpp2,AN09_carboxamide_ring,-8.1
enpp2,AN10_piperidinol,-7.4
enpp2,AN11_fluoro_pip,-7.7
enpp2,AN12_azaquinoline,-7.0
enpp3,AN00_parent,-7.9
enpp3,AN01_Nhydroxyethyl,-7.5
enpp3,AN02_Ncarboxamide,-8.6
enpp3,AN03_Nmethyl,-7.1
enpp3,AN04_Naminoethyl,-8.0
enpp3,AN05_ethyllinker,-7.7
enpp3,AN06_directlink,-8.4
enpp3,AN07_hydroxy,-9.2
enpp3,AN08_hydroxymethyl,-8.1
enpp3,AN09_carboxamide_ring,-8.7
enpp3,AN10_piperidinol,-8.5
enpp3,AN11_fluoro_pip,-7.5
enpp3,AN12_azaquinoline,-7.4
