target,analog,seed,affinity
enpp1,AN00_parent,42,-8.1
enpp1,AN10_piperidinol,42,-9.4
enpp1,AN11_fluoro_pip,42,-8.1
enpp2,AN00_parent,42,-7.3
enpp2,AN10_piperidinol,42,-7.4
enpp2,AN11_fluoro_pip,42,-7.7
enpp3,AN00_parent,42,-7.9
enpp3,AN10_piperidinol,42,-8.5
enpp3,AN11_fluoro_pip,42,-7.5
enpp1,AN00_parent,1,-8.1
enpp1,AN10_piperidinol,1,-9.4
enpp1,AN11_fluoro_pip,1,-8.2
enpp2,AN00_parent,1,-7.4
enpp2,AN10_piperidinol,1,-7.4
enpp2,AN11_fluoro_pip,1,-7.8
enpp3,AN00_parent,1,-8.0
enpp3,AN10_piperidinol,1,-8.3
enpp3,AN11_fluoro_pip,1,-7.6
enpp1,AN00_parent,2,-8.1
enpp1,AN10_piperidinol,2,-9.4
enpp1,AN11_fluoro_pip,2,-8.2
enpp2,AN00_parent,2,-7.3
enpp2,AN10_piperidinol,2,-7.4
enpp2,AN11_fluoro_pip,2,-7.7
enpp3,AN00_parent,2,-7.9
enpp3,AN10_piperidinol,2,-8.3
enpp3,AN11_fluoro_pip,2,-7.5
enpp1,AN00_parent,3,-8.1
enpp1,AN10_piperidinol,3,-9.1
enpp1,AN11_fluoro_pip,3,-8.2
enpp2,AN00_parent,3,-7.5
enpp2,AN10_piperidinol,3,-7.5
enpp2,AN11_fluoro_pip,3,-7.7
enpp3,AN00_parent,3,-7.9
enpp3,AN10_piperidinol,3,-8.3
enpp3,AN11_fluoro_pip,3,-7.5
enpp1,AN00_parent,4,-8.1
enpp1,AN10_piperidinol,4,-8.0
enpp1,AN11_fluoro_pip,4,-8.2
enpp2,AN00_parent,4,-7.4
enpp2,AN10_piperidinol,4,-7.4
enpp2,AN11_fluoro_pip,4,-7.7
enpp3,AN00_parent,4,-8.0
enpp3,AN10_piperidinol,4,-8.3
enpp3,AN11_fluoro_pip,4,-7.5
enpp1,AN00_parent,5,-8.1
enpp1,AN10_piperidinol,5,-9.4
enpp1,AN11_fluoro_pip,5,-8.1
enpp2,AN00_parent,5,-7.0
enpp2,AN10_piperidinol,5,-7.4
enpp2,AN11_fluoro_pip,5,-7.7
