target,ligand,seed,affinity
enpp1,CHEMBL6149286,42,-9.5
enpp1,CHEMBL6174154,42,-8.8
enpp1,CHEMBL5826130,42,-7.8
enpp1,TZV_native,42,-8.7
enpp1,CHEMBL5915707,42,-7.9
enpp2,CHEMBL5826130,42,-7.4
enpp1,CHEMBL5555976,42,-8.3
enpp1,CHEMBL6149286,42,-9.5
enpp2,CHEMBL5915707,42,-6.7
enpp1,CHEMBL6174154,42,-8.8
enpp2,CHEMBL5555976,42,-8.2
enpp1,TZV_native,42,-8.7
enpp2,CHEMBL6149286,42,-10.1
enpp2,CHEMBL5826130,42,-7.4
enpp2,CHEMBL6174154,42,-8.8
enpp2,CHEMBL5915707,42,-6.7
enpp2,TZV_native,42,-8.3
enpp2,CHEMBL5555976,42,-8.2
enpp3,CHEMBL5826130,42,-7.8
enpp2,CHEMBL6149286,42,-10.1
enpp3,CHEMBL5915707,42,-7.5
enpp2,CHEMBL6174154,42,-8.8
enpp3,CHEMBL5555976,42,-7.7
enpp2,TZV_native,42,-8.3
enpp3,CHEMBL6149286,42,-11.0
enpp3,CHEMBL5826130,42,-7.8
enpp3,CHEMBL6174154,42,-10.1
enpp3,TZV_native,42,-10.0
enpp3,CHEMBL5915707,42,-7.5
enpp1,CHEMBL5826130,1,-7.8
enpp3,CHEMBL5555976,42,-7.7
enpp1,CHEMBL5915707,1,-7.9
enpp3,CHEMBL6149286,42,-11.0
enpp3,CHEMBL6174154,42,-10.1
enpp1,CHEMBL5555976,1,-8.2
enpp3,TZV_native,42,-10.0
enpp1,CHEMBL6149286,1,-9.2
enpp1,CHEMBL6174154,1,-9.2
enpp1,CHEMBL5826130,1,-7.8
enpp1,TZV_native,1,-9.0
enpp1,CHEMBL5915707,1,-7.9
enpp2,CHEMBL5826130,1,-7.4
enpp1,CHEMBL5555976,1,-8.2
enpp1,CHEMBL6149286,1,-9.2
enpp2,CHEMBL5915707,1,-6.8
enpp1,CHEMBL6174154,1,-9.2
enpp2,CHEMBL5555976,1,-7.9
enpp1,TZV_native,1,-9.0
enpp2,CHEMBL6149286,1,-10.0
enpp2,CHEMBL5826130,1,-7.4
enpp2,CHEMBL6174154,1,-8.8
enpp2,CHEMBL5915707,1,-6.8
enpp2,TZV_native,1,-8.6
enpp2,CHEMBL5555976,1,-7.9
enpp3,CHEMBL5826130,1,-7.7
enpp2,CHEMBL6149286,1,-10.0
enpp3,CHEMBL5915707,1,-7.4
enpp2,CHEMBL6174154,1,-8.8
enpp3,CHEMBL5555976,1,-7.7
enpp2,TZV_native,1,-8.6
enpp3,CHEMBL6149286,1,-10.9
enpp3,CHEMBL5826130,1,-7.7
enpp3,CHEMBL6174154,1,-10.2
enpp3,TZV_native,1,-9.9
enpp3,CHEMBL5915707,1,-7.4
enpp1,CHEMBL5826130,2,-7.8
enpp3,CHEMBL5555976,1,-7.7
enpp1,CHEMBL5915707,2,-7.9
enpp3,CHEMBL6149286,1,-10.9
enpp3,CHEMBL6174154,1,-10.2
enpp1,CHEMBL5555976,2,-8.3
enpp3,TZV_native,1,-9.9
enpp1,CHEMBL6149286,2,-9.2
enpp1,CHEMBL6174154,2,-8.8
enpp1,CHEMBL5826130,2,-7.8
enpp1,TZV_native,2,-8.8
enpp1,CHEMBL5915707,2,-7.9
enpp2,CHEMBL5826130,2,-7.3
enpp1,CHEMBL5555976,2,-8.3
enpp2,CHEMBL5915707,2,-6.8
enpp1,CHEMBL6149286,2,-9.2
enpp1,CHEMBL6174154,2,-8.8
enpp2,CHEMBL5555976,2,-7.9
enpp1,TZV_native,2,-8.8
enpp2,CHEMBL6149286,2,-10.2
enpp2,CHEMBL5826130,2,-7.3
enpp2,CHEMBL6174154,2,-8.8
enpp2,CHEMBL5915707,2,-6.8
enpp2,TZV_native,2,-8.6
enpp2,CHEMBL5555976,2,-7.9
enpp3,CHEMBL5826130,2,-7.8
enpp2,CHEMBL6149286,2,-10.2
enpp3,CHEMBL5915707,2,-7.5
enpp2,CHEMBL6174154,2,-8.8
enpp3,CHEMBL5555976,2,-7.7
enpp2,TZV_native,2,-8.6
enpp3,CHEMBL6149286,2,-11.0
enpp3,CHEMBL6174154,2,-10.2
enpp3,CHEMBL5826130,2,-7.8
enpp3,TZV_native,2,-10.0
enpp3,CHEMBL5915707,2,-7.5
enpp1,CHEMBL5826130,3,-7.8
enpp3,CHEMBL5555976,2,-7.7
enpp1,CHEMBL5915707,3,-7.9
enpp3,CHEMBL6149286,2,-11.0
enpp3,CHEMBL6174154,2,-10.2
enpp1,CHEMBL5555976,3,-8.2
enpp3,TZV_native,2,-10.0
enpp1,CHEMBL6149286,3,-9.3
enpp1,CHEMBL6174154,3,-8.8
enpp1,CHEMBL5826130,3,-7.8
enpp1,TZV_native,3,-8.8
enpp1,CHEMBL5915707,3,-7.9
enpp2,CHEMBL5826130,3,-7.3
enpp1,CHEMBL5555976,3,-8.2
enpp2,CHEMBL5915707,3,-7.4
enpp1,CHEMBL6149286,3,-9.3
enpp1,CHEMBL6174154,3,-8.8
enpp2,CHEMBL5555976,3,-7.9
enpp1,TZV_native,3,-8.8
enpp2,CHEMBL6149286,3,-10.0
enpp2,CHEMBL5826130,3,-7.3
enpp2,CHEMBL6174154,3,-8.7
enpp2,CHEMBL5915707,3,-7.4
enpp2,TZV_native,3,-8.6
enpp2,CHEMBL5555976,3,-7.9
enpp3,CHEMBL5826130,3,-7.7
enpp3,CHEMBL5915707,3,-7.4
enpp2,CHEMBL6149286,3,-10.0
enpp2,CHEMBL6174154,3,-8.7
enpp3,CHEMBL5555976,3,-7.7
