target,ligand,vinardo_affinity
enpp1,CHEMBL5826130,-6.24550
enpp1,CHEMBL5915707,-6.25772
enpp1,CHEMBL5555976,-6.22959
enpp1,CHEMBL6149286,-9.59693
enpp1,CHEMBL6174154,-8.08337
enpp1,TZV_native,-8.87217
enpp2,CHEMBL5826130,-7.23875
enpp2,CHEMBL5915707,-5.63565
enpp2,CHEMBL5555976,-7.32128
enpp2,CHEMBL6149286,-9.45725
enpp2,CHEMBL6174154,-8.53085
enpp2,TZV_native,-8.03283
enpp3,CHEMBL5826130,-8.91266
enpp3,CHEMBL5915707,-7.12594
enpp3,CHEMBL5555976,-8.17276
enpp3,CHEMBL6149286,-11.85887
enpp3,CHEMBL6174154,-12.06833
enpp3,TZV_native,-10.98868
